date,n-unique-addresses
2009-01-03,2.0
2009-01-12,102.0
2009-01-16,110.0
2009-01-20,115.0
2009-01-24,202.0
2009-01-28,112.0
2009-02-01,114.0
2009-02-05,126.0
2009-02-09,135.0
2009-02-14,136.0
2009-02-18,118.0
2009-02-22,125.0
2009-02-26,107.0
2009-03-02,108.0
2009-03-06,117.0
2009-03-10,107.0
2009-03-15,123.0
2009-03-19,122.0
2009-03-23,130.0
2009-03-27,106.0
2009-03-31,111.0
2009-04-04,113.0
2009-04-08,105.0
2009-04-12,120.0
2009-04-16,123.0
2009-04-20,121.0
2009-04-24,115.0
2009-04-28,117.0
2009-05-02,130.0
2009-05-06,135.0
2009-05-10,85.0
2009-05-14,143.0
2009-05-18,118.0
2009-05-22,62.0
2009-05-26,125.0
2009-05-30,109.0
2009-06-03,72.0
2009-06-08,82.0
2009-06-12,86.0
2009-06-16,71.0
2009-06-20,78.0
2009-06-24,98.0
2009-06-28,48.0
2009-07-02,85.0
2009-07-07,69.0
2009-07-11,83.0
2009-07-15,45.0
2009-07-19,69.0
2009-07-23,75.0
2009-07-27,74.0
2009-07-31,17.0
2009-08-04,81.0
2009-08-08,80.0
2009-08-12,63.0
2009-08-16,20.0
2009-08-20,23.0
2009-08-24,15.0
2009-08-28,75.0
2009-09-01,79.0
2009-09-05,76.0
2009-09-09,54.0
2009-09-13,75.0
2009-09-17,86.0
2009-09-21,70.0
2009-09-25,93.0
2009-09-29,90.0
2009-10-03,58.0
2009-10-07,59.0
2009-10-11,74.0
2009-10-15,71.0
2009-10-19,112.0
2009-10-23,89.0
2009-10-27,65.0
2009-10-31,46.0
2009-11-04,64.0
2009-11-08,73.0
2009-11-12,66.0
2009-11-16,97.0
2009-11-20,86.0
2009-11-24,93.0
2009-11-28,71.0
2009-12-02,94.0
2009-12-07,112.0
2009-12-11,112.0
2009-12-15,113.0
2009-12-19,199.0
2009-12-23,154.0
2009-12-27,168.0
2009-12-31,138.0
2010-01-04,184.0
2010-01-08,153.0
2010-01-12,162.0
2010-01-16,126.0
2010-01-20,158.0
2010-01-24,155.0
2010-01-28,178.0
2010-02-01,193.0
2010-02-05,228.0
2010-02-09,211.0
2010-02-13,235.0
2010-02-17,248.0
2010-02-21,227.0
2010-02-25,158.0
2010-03-01,199.0
2010-03-05,173.0
2010-03-09,148.0
2010-03-13,154.0
2010-03-17,139.0
2010-03-21,187.0
2010-03-25,201.0
2010-03-29,201.0
2010-04-02,159.0
2010-04-06,174.0
2010-04-10,295.0
2010-04-14,221.0
2010-04-18,3359.0
2010-04-22,191.0
2010-04-26,207.0
2010-04-30,170.0
2010-05-04,161.0
2010-05-09,178.0
2010-05-13,155.0
2010-05-17,163.0
2010-05-21,215.0
2010-05-25,247.0
2010-05-29,233.0
2010-06-02,189.0
2010-06-06,191.0
2010-06-10,218.0
2010-06-14,255.0
2010-06-18,190.0
2010-06-22,236.0
2010-06-26,199.0
2010-06-30,261.0
2010-07-04,205.0
2010-07-08,223.0
2010-07-12,3368.0
2010-07-16,1436.0
2010-07-21,524.0
2010-07-25,1881.0
2010-07-29,431.0
2010-08-02,431.0
2010-08-06,422.0
2010-08-10,370.0
2010-08-14,440.0
2010-08-18,450.0
2010-08-22,373.0
2010-08-26,388.0
2010-08-30,359.0
2010-09-03,373.0
2010-09-07,290.0
2010-09-11,330.0
2010-09-15,484.0
2010-09-19,389.0
2010-09-23,725.0
2010-09-27,693.0
2010-10-01,672.0
2010-10-05,491.0
2010-10-09,484.0
2010-10-13,457.0
2010-10-17,541.0
2010-10-21,697.0
2010-10-25,517.0
2010-10-29,542.0
2010-11-02,322.0
2010-11-06,447.0
2010-11-10,458.0
2010-11-14,457.0
2010-11-18,469.0
2010-11-22,418.0
2010-11-26,955.0
2010-11-30,577.0
2010-12-04,537.0
2010-12-08,674.0
2010-12-12,979.0
2010-12-16,706.0
2010-12-20,1120.0
2010-12-24,711.0
2010-12-28,877.0
2011-01-02,740.0
2011-01-06,842.0
2011-01-10,1187.0
2011-01-14,1096.0
2011-01-18,1126.0
2011-01-22,1703.0
2011-01-26,1251.0
2011-01-30,2852.0
2011-02-03,989.0
2011-02-07,1091.0
2011-02-11,3680.0
2011-02-15,2893.0
2011-02-19,2313.0
2011-02-23,3287.0
2011-02-28,2510.0
2011-03-04,2802.0
2011-03-08,3483.0
2011-03-12,2722.0
2011-03-16,2541.0
2011-03-20,4021.0
2011-03-24,3675.0
2011-03-28,4225.0
2011-04-01,2714.0
2011-04-05,3576.0
2011-04-09,3069.0
2011-04-13,3658.0
2011-04-17,3549.0
2011-04-21,3329.0
2011-04-25,4239.0
2011-04-29,5637.0
2011-05-03,5023.0
2011-05-07,6034.0
2011-05-11,5601.0
2011-05-15,6879.0
2011-05-19,10305.0
2011-05-23,10231.0
2011-05-27,8881.0
2011-05-31,11804.0
2011-06-04,16869.0
2011-06-08,21324.0
2011-06-12,23112.0
2011-06-16,24631.0
2011-06-20,22601.0
2011-06-24,21877.0
2011-06-28,22438.0
2011-07-02,29542.0
2011-07-06,22736.0
2011-07-10,25407.0
2011-07-14,25886.0
2011-07-19,21575.0
2011-07-23,19426.0
2011-07-27,20996.0
2011-07-31,21881.0
2011-08-04,15847.0
2011-08-08,18340.0
2011-08-12,14112.0
2011-08-16,17699.0
2011-08-20,18706.0
2011-08-24,19095.0
2011-08-28,16263.0
2011-09-01,14081.0
2011-09-05,15423.0
2011-09-09,14345.0
2011-09-13,12622.0
2011-09-17,10988.0
2011-09-21,13718.0
2011-09-26,15796.0
2011-09-30,11283.0
2011-10-04,11300.0
2011-10-08,10489.0
2011-10-12,11384.0
2011-10-16,9703.0
2011-10-20,9169.0
2011-10-24,11426.0
2011-10-28,9929.0
2011-11-01,10579.0
2011-11-05,11062.0
2011-11-09,11835.0
2011-11-13,10130.0
2011-11-17,9659.0
2011-11-21,8063.0
2011-11-25,9369.0
2011-11-29,11231.0
2011-12-03,9455.0
2011-12-07,9967.0
2011-12-11,8796.0
2011-12-15,7800.0
2011-12-19,9898.0
2011-12-23,9532.0
2011-12-27,8865.0
2011-12-31,8198.0
2012-01-04,9542.0
2012-01-08,10661.0
2012-01-12,10691.0
2012-01-16,11532.0
2012-01-20,10999.0
2012-01-24,11684.0
2012-01-28,10203.0
2012-02-01,11456.0
2012-02-05,11451.0
2012-02-09,12023.0
2012-02-13,12755.0
2012-02-17,11012.0
2012-02-21,11225.0
2012-02-25,11022.0
2012-02-29,12043.0
2012-03-04,12059.0
2012-03-08,12185.0
2012-03-12,11290.0
2012-03-16,12250.0
2012-03-20,12143.0
2012-03-24,10955.0
2012-03-28,12531.0
2012-04-01,9862.0
2012-04-05,12119.0
2012-04-10,13537.0
2012-04-14,13106.0
2012-04-18,14652.0
2012-04-22,11365.0
2012-04-26,14837.0
2012-04-30,15186.0
2012-05-04,17784.0
2012-05-08,19584.0
2012-05-12,19032.0
2012-05-16,20227.0
2012-05-20,24706.0
2012-05-24,23103.0
2012-05-28,24094.0
2012-06-01,23507.0
2012-06-05,34403.0
2012-06-09,25160.0
2012-06-13,38857.0
2012-06-17,32557.0
2012-06-21,23348.0
2012-06-25,26708.0
2012-06-29,26456.0
2012-07-03,26886.0
2012-07-07,25832.0
2012-07-11,28013.0
2012-07-15,24275.0
2012-07-19,27587.0
2012-07-23,33404.0
2012-07-27,26568.0
2012-07-31,45337.0
2012-08-04,28146.0
2012-08-08,39343.0
2012-08-12,31503.0
2012-08-16,47583.0
2012-08-20,33907.0
2012-08-24,35254.0
2012-08-28,31789.0
2012-09-01,36448.0
2012-09-05,34684.0
2012-09-09,32968.0
2012-09-13,27581.0
2012-09-17,26455.0
2012-09-21,29568.0
2012-09-26,36372.0
2012-09-30,25258.0
2012-10-04,36409.0
2012-10-08,38115.0
2012-10-12,35240.0
2012-10-16,31821.0
2012-10-20,32674.0
2012-10-24,32550.0
2012-10-28,21241.0
2012-11-01,23851.0
2012-11-05,28848.0
2012-11-09,28298.0
2012-11-13,25520.0
2012-11-17,44133.0
2012-11-21,33493.0
2012-11-25,27861.0
2012-11-29,31421.0
2012-12-03,23875.0
2012-12-07,30025.0
2012-12-11,29038.0
2012-12-16,28686.0
2012-12-20,29958.0
2012-12-24,28575.0
2012-12-28,33348.0
2013-01-02,34292.0
2013-01-06,32347.0
2013-01-10,44686.0
2013-01-14,33866.0
2013-01-18,43006.0
2013-01-22,38013.0
2013-01-26,41077.0
2013-01-30,34666.0
2013-02-03,43416.0
2013-02-07,44492.0
2013-02-11,39656.0
2013-02-15,38769.0
2013-02-19,39820.0
2013-02-23,41790.0
2013-02-27,42868.0
2013-03-03,35819.0
2013-03-07,50988.0
2013-03-11,41067.0
2013-03-15,51708.0
2013-03-19,52413.0
2013-03-23,50305.0
2013-03-27,58532.0
2013-03-31,48515.0
2013-04-04,86454.0
2013-04-08,94011.0
2013-04-12,81347.0
2013-04-16,81694.0
2013-04-20,62602.0
2013-04-24,81580.0
2013-04-28,104608.0
2013-05-02,65415.0
2013-05-07,94788.0
2013-05-11,66176.0
2013-05-15,68388.0
2013-05-19,51697.0
2013-05-23,68378.0
2013-05-27,59658.0
2013-05-31,61670.0
2013-06-04,64541.0
2013-06-08,47541.0
2013-06-12,52892.0
2013-06-16,39659.0
2013-06-20,54098.0
2013-06-24,52722.0
2013-06-28,56602.0
2013-07-02,51868.0
2013-07-06,42492.0
2013-07-10,54321.0
2013-07-14,38901.0
2013-07-18,52109.0
2013-07-22,50290.0
2013-07-26,51523.0
2013-07-30,58704.0
2013-08-03,49767.0
2013-08-07,64954.0
2013-08-11,43353.0
2013-08-15,64588.0
2013-08-19,69236.0
2013-08-23,63359.0
2013-08-27,72059.0
2013-08-31,77866.0
2013-09-04,62447.0
2013-09-08,44651.0
2013-09-12,63265.0
2013-09-16,57572.0
2013-09-20,66115.0
2013-09-24,65926.0
2013-09-28,56523.0
2013-10-02,77728.0
2013-10-06,49517.0
2013-10-10,67237.0
2013-10-14,68679.0
2013-10-18,70030.0
2013-10-22,91759.0
2013-10-26,60631.0
2013-10-30,78591.0
2013-11-03,65338.0
2013-11-07,109301.0
2013-11-11,88300.0
2013-11-15,102176.0
2013-11-19,170557.0
2013-11-23,130687.0
2013-11-27,170801.0
2013-12-01,136377.0
2013-12-05,157285.0
2013-12-09,136327.0
2013-12-13,121972.0
2013-12-17,133831.0
2013-12-21,107061.0
2013-12-25,113223.0
2013-12-29,94132.0
2014-01-02,114151.0
2014-01-06,151592.0
2014-01-10,108863.0
2014-01-14,110009.0
2014-01-18,92393.0
2014-01-22,132174.0
2014-01-26,109747.0
2014-01-30,131665.0
2014-02-03,151697.0
2014-02-07,142073.0
2014-02-11,129779.0
2014-02-15,128245.0
2014-02-19,154079.0
2014-02-23,144957.0
2014-02-27,162312.0
2014-03-03,207617.0
2014-03-07,156936.0
2014-03-11,155145.0
2014-03-15,120614.0
2014-03-19,141597.0
2014-03-23,126956.0
2014-03-27,160637.0
2014-03-31,148468.0
2014-04-04,154707.0
2014-04-08,142384.0
2014-04-12,112455.0
2014-04-16,149841.0
2014-04-20,147204.0
2014-04-24,135134.0
2014-04-28,146280.0
2014-05-02,122570.0
2014-05-06,144318.0
2014-05-10,115894.0
2014-05-14,136797.0
2014-05-18,151253.0
2014-05-22,137973.0
2014-05-26,143041.0
2014-05-30,127995.0
2014-06-03,160756.0
2014-06-07,120890.0
2014-06-11,145154.0
2014-06-15,156625.0
2014-06-19,132614.0
2014-06-23,136813.0
2014-06-27,144281.0
2014-07-01,157472.0
2014-07-05,110447.0
2014-07-09,157335.0
2014-07-13,168917.0
2014-07-17,147920.0
2014-07-21,135234.0
2014-07-25,152439.0
2014-07-29,142385.0
2014-08-02,121519.0
2014-08-06,173282.0
2014-08-10,174825.0
2014-08-14,165350.0
2014-08-18,167625.0
2014-08-22,156690.0
2014-08-26,163451.0
2014-08-30,141380.0
2014-09-03,146140.0
2014-09-07,212749.0
2014-09-11,149290.0
2014-09-15,160989.0
2014-09-19,143062.0
2014-09-23,163696.0
2014-09-27,141428.0
2014-10-01,184302.0
2014-10-05,220026.0
2014-10-09,159411.0
2014-10-13,181958.0
2014-10-17,157606.0
2014-10-22,171493.0
2014-10-26,184703.0
2014-10-30,176402.0
2014-11-03,173647.0
2014-11-07,163758.0
2014-11-11,170263.0
2014-11-15,150621.0
2014-11-19,172491.0
2014-11-23,223748.0
2014-11-27,181363.0
2014-12-01,181684.0
2014-12-05,194196.0
2014-12-09,186519.0
2014-12-13,155092.0
2014-12-17,209988.0
2014-12-21,205666.0
2014-12-25,140109.0
2014-12-29,163563.0
2015-01-02,179406.0
2015-01-06,179159.0
2015-01-10,242729.0
2015-01-14,217076.0
2015-01-18,214984.0
2015-01-22,186251.0
2015-01-26,216080.0
2015-01-30,161500.0
2015-02-03,203192.0
2015-02-07,159160.0
2015-02-11,191881.0
2015-02-15,300913.0
2015-02-19,180964.0
2015-02-23,213050.0
2015-02-27,198801.0
2015-03-03,218185.0
2015-03-07,213542.0
2015-03-11,202784.0
2015-03-15,219686.0
2015-03-19,191319.0
2015-03-23,217678.0
2015-03-27,196455.0
2015-03-31,226307.0
2015-04-04,215923.0
2015-04-08,215255.0
2015-04-12,217732.0
2015-04-16,188970.0
2015-04-20,209796.0
2015-04-24,204006.0
2015-04-28,209313.0
2015-05-02,233284.0
2015-05-06,225289.0
2015-05-10,219078.0
2015-05-14,200454.0
2015-05-18,206913.0
2015-05-22,208304.0
2015-05-26,227723.0
2015-05-30,266265.0
2015-06-03,246454.0
2015-06-07,220164.0
2015-06-11,233951.0
2015-06-15,272423.0
2015-06-19,253777.0
2015-06-23,256698.0
2015-06-27,254786.0
2015-07-01,253870.0
2015-07-05,269467.0
2015-07-09,269424.0
2015-07-13,240377.0
2015-07-17,205768.0
2015-07-21,255725.0
2015-07-25,195286.0
2015-07-29,269690.0
2015-08-02,255245.0
2015-08-06,245603.0
2015-08-10,235211.0
2015-08-14,227327.0
2015-08-18,249286.0
2015-08-22,258265.0
2015-08-26,237648.0
2015-08-30,245385.0
2015-09-03,246972.0
2015-09-07,263783.0
2015-09-11,276094.0
2015-09-15,268665.0
2015-09-19,221522.0
2015-09-23,244535.0
2015-09-27,256084.0
2015-10-01,248462.0
2015-10-05,233960.0
2015-10-09,209703.0
2015-10-13,239237.0
2015-10-17,307347.0
2015-10-21,289412.0
2015-10-25,296929.0
2015-10-29,292094.0
2015-11-02,309823.0
2015-11-06,358682.0
2015-11-10,311998.0
2015-11-14,328381.0
2015-11-18,324903.0
2015-11-22,319199.0
2015-11-26,314907.0
2015-11-30,409952.0
2015-12-04,329534.0
2015-12-08,388080.0
2015-12-12,445120.0
2015-12-16,396918.0
2015-12-20,409195.0
2015-12-24,382616.0
2015-12-28,335134.0
2016-01-01,263121.0
2016-01-05,359763.0
2016-01-09,390146.0
2016-01-13,339655.0
2016-01-17,462215.0
2016-01-21,415801.0
2016-01-25,420289.0
2016-01-29,410455.0
2016-02-02,488072.0
2016-02-06,419675.0
2016-02-10,417816.0
2016-02-14,421715.0
2016-02-18,415599.0
2016-02-22,465054.0
2016-02-26,391078.0
2016-03-01,483492.0
2016-03-05,411654.0
2016-03-09,337006.0
2016-03-13,351625.0
2016-03-17,397923.0
2016-03-21,355209.0
2016-03-25,332910.0
2016-03-29,384087.0
2016-04-02,349858.0
2016-04-06,400648.0
2016-04-10,369611.0
2016-04-14,386126.0
2016-04-18,391408.0
2016-04-22,360541.0
2016-04-26,438403.0
2016-04-30,370399.0
2016-05-04,393861.0
2016-05-08,363477.0
2016-05-12,373340.0
2016-05-16,428469.0
2016-05-20,352825.0
2016-05-24,407284.0
2016-05-28,378992.0
2016-06-01,411100.0
2016-06-05,370336.0
2016-06-09,433264.0
2016-06-13,450475.0
2016-06-17,456749.0
2016-06-21,466563.0
2016-06-25,410558.0
2016-06-29,370956.0
2016-07-03,349825.0
2016-07-07,364951.0
2016-07-11,392909.0
2016-07-15,367025.0
2016-07-19,372107.0
2016-07-23,338444.0
2016-07-27,373465.0
2016-07-31,344641.0
2016-08-04,384713.0
2016-08-08,412180.0
2016-08-12,389404.0
2016-08-16,423764.0
2016-08-20,399739.0
2016-08-24,408587.0
2016-08-28,331778.0
2016-09-01,385974.0
2016-09-05,422188.0
2016-09-09,380834.0
2016-09-13,410171.0
2016-09-17,394081.0
2016-09-21,408745.0
2016-09-25,377263.0
2016-09-29,438502.0
2016-10-03,494066.0
2016-10-07,470157.0
2016-10-11,456719.0
2016-10-15,390688.0
2016-10-19,340010.0
2016-10-23,370500.0
2016-10-27,544308.0
2016-10-31,456149.0
2016-11-04,429052.0
2016-11-08,515899.0
2016-11-12,441806.0
2016-11-16,481300.0
2016-11-20,452258.0
2016-11-24,555782.0
2016-11-28,531725.0
2016-12-02,579169.0
2016-12-06,569492.0
2016-12-10,456468.0
2016-12-14,495462.0
2016-12-18,418499.0
2016-12-22,528879.0
2016-12-26,448558.0
2016-12-30,496025.0
2017-01-03,515024.0
2017-01-07,503341.0
2017-01-11,491693.0
2017-01-15,417279.0
2017-01-19,516339.0
2017-01-23,425650.0
2017-01-27,462951.0
2017-01-31,523037.0
2017-02-04,500098.0
2017-02-08,516491.0
2017-02-12,422085.0
2017-02-16,489190.0
2017-02-20,503953.0
2017-02-24,590852.0
2017-02-28,542157.0
2017-03-04,489858.0
2017-03-08,526233.0
2017-03-12,422479.0
2017-03-16,594406.0
2017-03-20,512638.0
2017-03-24,540390.0
2017-03-28,553957.0
2017-04-01,502791.0
2017-04-05,577217.0
2017-04-09,489533.0
2017-04-13,449522.0
2017-04-17,469210.0
2017-04-21,612636.0
2017-04-25,580199.0
2017-04-29,634026.0
2017-05-03,547222.0
2017-05-07,581370.0
2017-05-11,568522.0
2017-05-15,636240.0
2017-05-19,633618.0
2017-05-23,687291.0
2017-05-27,651462.0
2017-05-31,614127.0
2017-06-04,537388.0
2017-06-08,609713.0
2017-06-12,538625.0
2017-06-16,536166.0
2017-06-20,591484.0
2017-06-24,469728.0
2017-06-28,549137.0
2017-07-02,409306.0
2017-07-06,459295.0
2017-07-10,567053.0
2017-07-14,473083.0
2017-07-18,561056.0
2017-07-22,433136.0
2017-07-26,460147.0
2017-07-30,386559.0
2017-08-03,427729.0
2017-08-07,512718.0
2017-08-11,580988.0
2017-08-15,650900.0
2017-08-19,535351.0
2017-08-23,628517.0
2017-08-27,509083.0
2017-08-31,589298.0
2017-09-04,561329.0
2017-09-08,606486.0
2017-09-12,549110.0
2017-09-16,486763.0
2017-09-20,480583.0
2017-09-24,383449.0
2017-09-28,561793.0
2017-10-02,606138.0
2017-10-06,609683.0
2017-10-10,613364.0
2017-10-14,594482.0
2017-10-18,646494.0
2017-10-22,573815.0
2017-10-26,555570.0
2017-10-30,672661.0
2017-11-03,670963.0
2017-11-07,714417.0
2017-11-11,459977.0
2017-11-15,709294.0
2017-11-19,603430.0
2017-11-23,747162.0
2017-11-27,829651.0
2017-12-01,869275.0
2017-12-05,891236.0
2017-12-09,877575.0
2017-12-13,958477.0
